duration,Bitrate,Codec,ext,file_name
30000,705600,1,wav,music_encorder_test_set/squ_44100_1_20000_30.wav
38400,128000,1,wav,music_encorder_test_set/OSR_uk_000_0021_8k.wav
30000,1536000,1,wav,music_encorder_test_set/squ_96000_1_20000_30.wav
52415,128000,1,wav,music_encorder_test_set/OSR_uk_000_0050_8k.wav
30000,1536000,1,wav,music_encorder_test_set/Tri_96000_1_20000_30.wav
30000,705600,1,wav,music_encorder_test_set/saw_44100_1_20000_30.wav
30000,1536000,1,wav,music_encorder_test_set/saw_96000_1_20000_30.wav
30000,705600,1,wav,music_encorder_test_set/Tri_44100_1_20000_30.wav
39797,128000,1,wav,music_encorder_test_set/OSR_uk_000_0023_8k.wav
888000,644336,,flac,music_encorder_test_set/sintel-master-st.flac
30000,705600,1,wav,music_encorder_test_set/noise_44100_1_20000_30.wav
30000,1536000,1,wav,music_encorder_test_set/noise_96000_1_20000_30.wav
38525,128000,1,wav,music_encorder_test_set/OSR_uk_000_0027_8k.wav
52415,128000,1,wav,music_encorder_test_set/OSR_uk_000_0048_8k.wav
888000,1239916,,flac,music_encorder_test_set/sintel-master-51.flac
37591,128000,1,wav,music_encorder_test_set/OSR_uk_000_0029_8k.wav
37559,128000,1,wav,music_encorder_test_set/OSR_uk_000_0025_8k.wav
40000,128000,1,wav,music_encorder_test_set/OSR_uk_000_0020_8k.wav
52415,128000,1,wav,music_encorder_test_set/OSR_uk_000_0051_8k.wav
420624,192000,,mp3,music_encorder_test_set/SoundHelix-Song-7.mp3
279641,192000,,mp3,music_encorder_test_set/SoundHelix-Song-6.mp3
30000,705600,1,wav,music_encorder_test_set/sine_44100_1_20000_30.wav
302524,192000,,mp3,music_encorder_test_set/SoundHelix-Song-4.mp3
353959,192000,,mp3,music_encorder_test_set/SoundHelix-Song-5.mp3
30000,1536000,1,wav,music_encorder_test_set/sine_96000_1_20000_30.wav
372715,192000,,mp3,music_encorder_test_set/SoundHelix-Song-1.mp3
888000,1536000,1,wav,music_encorder_test_set/sintel-master-st.wav
425953,192000,,mp3,music_encorder_test_set/SoundHelix-Song-2.mp3
39000,128000,1,wav,music_encorder_test_set/OSR_uk_000_0022_8k.wav
344085,192000,,mp3,music_encorder_test_set/SoundHelix-Song-3.mp3
35100,128000,1,wav,music_encorder_test_set/OSR_uk_000_0026_8k.wav
51421,128000,1,wav,music_encorder_test_set/OSR_uk_000_0049_8k.wav
43741,128000,1,wav,music_encorder_test_set/OSR_uk_000_0024_8k.wav
888007,,,opus,music_encorder_test_set/sintel-master-51.opus
43433,128000,1,wav,music_encorder_test_set/OSR_uk_000_0047_8k.wav
